link_id,periodo,demanda_kwh,num_veiculos,perfil,descricao
0,0,45,2,centro_principal,Madrugada - reduzida 50%
0,1,45,2,centro_principal,Madrugada - reduzida 50%
0,2,30,1,centro_principal,Madrugada - reduzida 50%
0,3,30,1,centro_principal,Madrugada - reduzida 50%
0,4,60,2,centro_principal,Início atividades - reduzida 50%
0,5,150,5,centro_principal,Manhã cedo - reduzida 50%
0,6,270,9,centro_principal,Manhã - reduzida 50%
0,7,375,13,centro_principal,Manhã - pico - reduzida 50%
0,8,330,11,centro_principal,Manhã - alto - reduzida 50%
0,9,240,8,centro_principal,Meio-dia - reduzida 50%
0,10,210,7,centro_principal,Meio-dia - reduzida 50%
0,11,210,7,centro_principal,Meio-dia - reduzida 50%
0,12,240,8,centro_principal,Tarde início - reduzida 50%
0,13,285,10,centro_principal,Tarde - crescente - reduzida 50%
0,14,330,11,centro_principal,Tarde - alto - reduzida 50%
0,15,375,13,centro_principal,Tarde - pré-pico - reduzida 50%
0,16,450,15,centro_principal,Tarde - pico início - reduzida 50%
0,17,525,18,centro_principal,Noite - pico máximo - reduzida 50%
0,18,450,15,centro_principal,Noite - pico alto - reduzida 50%
0,19,330,11,centro_principal,Noite - decrescente - reduzida 50%
0,20,240,8,centro_principal,Noite - moderado - reduzida 50%
0,21,150,5,centro_principal,Noite - baixo - reduzida 50%
0,22,90,3,centro_principal,Noite tardia - reduzida 50%
0,23,60,2,centro_principal,Noite tardia - reduzida 50%
1,0,38,1,centro_secundario,Madrugada - reduzida 50%
1,1,30,1,centro_secundario,Madrugada - reduzida 50%
1,2,23,1,centro_secundario,Madrugada - reduzida 50%
1,3,23,1,centro_secundario,Madrugada - reduzida 50%
1,4,45,2,centro_secundario,Início atividades - reduzida 50%
1,5,120,4,centro_secundario,Manhã cedo - reduzida 50%
1,6,225,8,centro_secundario,Manhã - pico - reduzida 50%
1,7,300,10,centro_secundario,Manhã - máximo - reduzida 50%
1,8,270,9,centro_secundario,Manhã - alto - reduzida 50%
1,9,195,7,centro_secundario,Meio-dia - reduzida 50%
1,10,180,6,centro_secundario,Meio-dia - reduzida 50%
1,11,180,6,centro_secundario,Meio-dia - reduzida 50%
1,12,195,7,centro_secundario,Tarde - reduzida 50%
1,13,240,8,centro_secundario,Tarde - reduzida 50%
1,14,285,10,centro_secundario,Tarde - alto - reduzida 50%
1,15,315,11,centro_secundario,Tarde - pré-pico - reduzida 50%
1,16,375,13,centro_secundario,Tarde - pico - reduzida 50%
1,17,435,15,centro_secundario,Noite - máximo - reduzida 50%
1,18,375,13,centro_secundario,Noite - alto - reduzida 50%
1,19,270,9,centro_secundario,Noite - reduzida 50%
1,20,195,7,centro_secundario,Noite - reduzida 50%
1,21,120,4,centro_secundario,Noite - reduzida 50%
1,22,75,3,centro_secundario,Noite tardia - reduzida 50%
1,23,45,2,centro_secundario,Noite tardia - reduzida 50%
2,0,30,1,cambui_comercial,Madrugada - reduzida 50%
2,1,30,1,cambui_comercial,Madrugada - reduzida 50%
2,2,15,1,cambui_comercial,Madrugada - reduzida 50%
2,3,15,1,cambui_comercial,Madrugada - reduzida 50%
2,4,45,2,cambui_comercial,Início - reduzida 50%
2,5,105,4,cambui_comercial,Manhã cedo - reduzida 50%
2,6,195,7,cambui_comercial,Manhã - reduzida 50%
2,7,255,9,cambui_comercial,Manhã - pico - reduzida 50%
2,8,225,8,cambui_comercial,Manhã - reduzida 50%
2,9,165,6,cambui_comercial,Meio-dia - reduzida 50%
2,10,150,5,cambui_comercial,Meio-dia - reduzida 50%
2,11,150,5,cambui_comercial,Meio-dia - reduzida 50%
2,12,165,6,cambui_comercial,Tarde - reduzida 50%
2,13,210,7,cambui_comercial,Tarde - reduzida 50%
2,14,255,9,cambui_comercial,Tarde - alto - reduzida 50%
2,15,285,10,cambui_comercial,Tarde - pico - reduzida 50%
2,16,330,11,cambui_comercial,Noite início - reduzida 50%
2,17,375,13,cambui_comercial,Noite - máximo - reduzida 50%
2,18,330,11,cambui_comercial,Noite - alto - reduzida 50%
2,19,255,9,cambui_comercial,Noite - reduzida 50%
2,20,180,6,cambui_comercial,Noite - reduzida 50%
2,21,105,4,cambui_comercial,Noite - reduzida 50%
2,22,60,2,cambui_comercial,Noite tardia - reduzida 50%
2,23,45,2,cambui_comercial,Noite tardia - reduzida 50%
3,0,23,1,cambui_residencial,Madrugada - reduzida 50%
3,1,23,1,cambui_residencial,Madrugada - reduzida 50%
3,2,15,1,cambui_residencial,Madrugada - reduzida 50%
3,3,15,1,cambui_residencial,Madrugada - reduzida 50%
3,4,30,1,cambui_residencial,Início - reduzida 50%
3,5,75,3,cambui_residencial,Manhã cedo - reduzida 50%
3,6,150,5,cambui_residencial,Manhã - reduzida 50%
3,7,195,7,cambui_residencial,Manhã - pico - reduzida 50%
3,8,165,6,cambui_residencial,Manhã - reduzida 50%
3,9,120,4,cambui_residencial,Meio-dia - reduzida 50%
3,10,105,4,cambui_residencial,Meio-dia - reduzida 50%
3,11,105,4,cambui_residencial,Meio-dia - reduzida 50%
3,12,120,4,cambui_residencial,Tarde - reduzida 50%
3,13,150,5,cambui_residencial,Tarde - reduzida 50%
3,14,195,7,cambui_residencial,Tarde - reduzida 50%
3,15,240,8,cambui_residencial,Tarde - pico - reduzida 50%
3,16,285,10,cambui_residencial,Noite início - reduzida 50%
3,17,330,11,cambui_residencial,Noite - máximo - reduzida 50%
3,18,300,10,cambui_residencial,Noite - alto - reduzida 50%
3,19,240,8,cambui_residencial,Noite - reduzida 50%
3,20,165,6,cambui_residencial,Noite - reduzida 50%
3,21,90,3,cambui_residencial,Noite - reduzida 50%
3,22,60,2,cambui_residencial,Noite tardia - reduzida 50%
3,23,30,1,cambui_residencial,Noite tardia - reduzida 50%
4,0,38,1,taquaral_lazer,Madrugada - reduzida 50%
4,1,30,1,taquaral_lazer,Madrugada - reduzida 50%
4,2,23,1,taquaral_lazer,Madrugada - reduzida 50%
4,3,23,1,taquaral_lazer,Madrugada - reduzida 50%
4,4,45,2,taquaral_lazer,Início - reduzida 50%
4,5,90,3,taquaral_lazer,Manhã - lazer início - reduzida 50%
4,6,165,6,taquaral_lazer,Manhã - parque abre - reduzida 50%
4,7,225,8,taquaral_lazer,Manhã - visitantes - reduzida 50%
4,8,255,9,taquaral_lazer,Manhã - pico - reduzida 50%
4,9,240,8,taquaral_lazer,Meio-dia - alto - reduzida 50%
4,10,210,7,taquaral_lazer,Meio-dia - reduzida 50%
4,11,210,7,taquaral_lazer,Meio-dia - reduzida 50%
4,12,240,8,taquaral_lazer,Tarde - retorno - reduzida 50%
4,13,285,10,taquaral_lazer,Tarde - crescente - reduzida 50%
4,14,330,11,taquaral_lazer,Tarde - alto - reduzida 50%
4,15,375,13,taquaral_lazer,Tarde - pico fim dia - reduzida 50%
4,16,345,12,taquaral_lazer,Noite início - reduzida 50%
4,17,285,10,taquaral_lazer,Noite - eventos - reduzida 50%
4,18,225,8,taquaral_lazer,Noite - reduzida 50%
4,19,165,6,taquaral_lazer,Noite - reduzida 50%
4,20,105,4,taquaral_lazer,Noite - reduzida 50%
4,21,75,3,taquaral_lazer,Noite - reduzida 50%
4,22,45,2,taquaral_lazer,Noite tardia - reduzida 50%
4,23,38,1,taquaral_lazer,Noite tardia - reduzida 50%
5,0,45,2,shopping_iguatemi,Madrugada - segurança - reduzida 50%
5,1,38,1,shopping_iguatemi,Madrugada - reduzida 50%
5,2,30,1,shopping_iguatemi,Madrugada - reduzida 50%
5,3,30,1,shopping_iguatemi,Madrugada - reduzida 50%
5,4,45,2,shopping_iguatemi,Início - funcionários - reduzida 50%
5,5,105,4,shopping_iguatemi,Manhã - abertura próxima - reduzida 50%
5,6,180,6,shopping_iguatemi,Manhã - abertura 10h - reduzida 50%
5,7,240,8,shopping_iguatemi,Manhã - movimento - reduzida 50%
5,8,270,9,shopping_iguatemi,Manhã - crescente - reduzida 50%
5,9,300,10,shopping_iguatemi,Meio-dia - almoço - reduzida 50%
5,10,315,11,shopping_iguatemi,Meio-dia - pico almoço - reduzida 50%
5,11,315,11,shopping_iguatemi,Meio-dia - pico almoço - reduzida 50%
5,12,300,10,shopping_iguatemi,Tarde - movimento - reduzida 50%
5,13,330,11,shopping_iguatemi,Tarde - crescente - reduzida 50%
5,14,375,13,shopping_iguatemi,Tarde - alto - reduzida 50%
5,15,420,14,shopping_iguatemi,Tarde - pré-pico - reduzida 50%
5,16,465,16,shopping_iguatemi,Noite - pico início - reduzida 50%
5,17,510,17,shopping_iguatemi,Noite - pico máximo - reduzida 50%
5,18,480,16,shopping_iguatemi,Noite - pico - reduzida 50%
5,19,420,14,shopping_iguatemi,Noite - alto - reduzida 50%
5,20,330,11,shopping_iguatemi,Noite - fechamento - reduzida 50%
5,21,210,7,shopping_iguatemi,Noite - pós-fechamento - reduzida 50%
5,22,120,4,shopping_iguatemi,Noite tardia - reduzida 50%
5,23,75,3,shopping_iguatemi,Noite tardia - reduzida 50%
6,0,30,1,unicamp,Madrugada - reduzida 50%
6,1,23,1,unicamp,Madrugada - reduzida 50%
6,2,23,1,unicamp,Madrugada - reduzida 50%
6,3,23,1,unicamp,Madrugada - reduzida 50%
6,4,45,2,unicamp,Início - primeiros - reduzida 50%
