link_destino,link_cobertor,distancia_km
0,0,0.0
0,1,0.39
0,2,1.98
0,3,1.45
0,8,2.63
0,9,1.8
0,10,1.93
0,11,2.51
0,12,2.78
0,13,2.83
0,14,2.72
1,1,0.0
1,0,0.39
1,2,1.88
1,3,1.32
1,8,2.98
1,9,2.15
1,10,1.54
1,11,2.15
1,12,2.91
1,13,2.87
1,14,2.53
2,2,0.0
2,0,1.98
2,1,1.88
2,3,0.57
2,4,2.77
2,5,2.18
2,9,2.47
2,10,2.14
2,11,1.97
3,3,0.0
3,0,1.45
3,1,1.32
3,2,0.57
3,5,2.58
3,9,2.3
3,10,1.71
3,11,1.75
4,4,0.0
4,2,2.77
4,5,0.66
4,8,2.18
4,9,2.44
5,5,0.0
5,2,2.18
5,3,2.58
5,4,0.66
5,8,2.38
5,9,2.41
6,6,0.0
6,7,0.69
7,7,0.0
7,6,0.69
8,8,0.0
8,0,2.63
8,1,2.98
8,4,2.18
8,5,2.38
8,9,0.83
9,9,0.0
9,0,1.8
9,1,2.15
9,2,2.47
9,3,2.3
9,4,2.44
9,5,2.41
9,8,0.83
10,10,0.0
10,0,1.93
10,1,1.54
10,2,2.14
10,3,1.71
10,11,0.84
10,14,2.41
11,11,0.0
11,0,2.51
11,1,2.15
11,2,1.97
11,3,1.75
11,10,0.84
12,12,0.0
12,0,2.78
12,1,2.91
12,13,0.68
12,14,2.3
13,13,0.0
13,0,2.83
13,1,2.87
13,12,0.68
13,14,1.7
14,14,0.0
14,0,2.72
14,1,2.53
14,10,2.41
14,12,2.3
14,13,1.7
