link_id,periodo,irradiacao_normalizada,descricao
0,0,0.00,Noite - sem irradiação
0,1,0.00,Noite - sem irradiação
0,2,0.00,Noite - sem irradiação
0,3,0.00,Noite - sem irradiação
0,4,0.00,Noite - sem irradiação
0,5,0.00,Madrugada - sem irradiação
0,6,0.08,Amanhecer - irradiação inicial (6h)
0,7,0.24,Manhã - irradiação crescente (7h)
0,8,0.40,Manhã - irradiação moderada (8h)
0,9,0.56,Manhã - irradiação forte (9h)
0,10,0.71,Manhã - irradiação intensa (10h)
0,11,0.87,Pré-meio-dia - quase máxima (11h)
0,12,1.00,Meio-dia - irradiação máxima (12h)
0,13,0.95,Pós-meio-dia - quase máxima (13h)
0,14,0.79,Tarde - irradiação intensa (14h)
0,15,0.63,Tarde - irradiação forte (15h)
0,16,0.48,Tarde - irradiação moderada (16h)
0,17,0.32,Tarde - irradiação decrescente (17h)
0,18,0.16,Entardecer - irradiação final (18h)
0,19,0.00,Noite - sem irradiação
0,20,0.00,Noite - sem irradiação
0,21,0.00,Noite - sem irradiação
0,22,0.00,Noite - sem irradiação
0,23,0.00,Noite - sem irradiação
1,0,0.00,Noite - sem irradiação
1,1,0.00,Noite - sem irradiação
1,2,0.00,Noite - sem irradiação
1,3,0.00,Noite - sem irradiação
1,4,0.00,Noite - sem irradiação
1,5,0.00,Madrugada - sem irradiação
1,6,0.08,Amanhecer - irradiação inicial
1,7,0.24,Manhã - irradiação crescente
1,8,0.40,Manhã - irradiação moderada
1,9,0.56,Manhã - irradiação forte
1,10,0.71,Manhã - irradiação intensa
1,11,0.87,Pré-meio-dia - quase máxima
1,12,1.00,Meio-dia - irradiação máxima
1,13,0.95,Pós-meio-dia - quase máxima
1,14,0.79,Tarde - irradiação intensa
1,15,0.63,Tarde - irradiação forte
1,16,0.48,Tarde - irradiação moderada
1,17,0.32,Tarde - irradiação decrescente
1,18,0.16,Entardecer - irradiação final
1,19,0.00,Noite - sem irradiação
1,20,0.00,Noite - sem irradiação
1,21,0.00,Noite - sem irradiação
1,22,0.00,Noite - sem irradiação
1,23,0.00,Noite - sem irradiação
2,0,0.00,Noite - sem irradiação
2,1,0.00,Noite - sem irradiação
2,2,0.00,Noite - sem irradiação
2,3,0.00,Noite - sem irradiação
2,4,0.00,Noite - sem irradiação
2,5,0.00,Madrugada - sem irradiação
2,6,0.08,Amanhecer - irradiação inicial
2,7,0.24,Manhã - irradiação crescente
2,8,0.40,Manhã - irradiação moderada
2,9,0.56,Manhã - irradiação forte
2,10,0.71,Manhã - irradiação intensa
2,11,0.87,Pré-meio-dia - quase máxima
2,12,1.00,Meio-dia - irradiação máxima
2,13,0.95,Pós-meio-dia - quase máxima
2,14,0.79,Tarde - irradiação intensa
2,15,0.63,Tarde - irradiação forte
2,16,0.48,Tarde - irradiação moderada
2,17,0.32,Tarde - irradiação decrescente
2,18,0.16,Entardecer - irradiação final
2,19,0.00,Noite - sem irradiação
2,20,0.00,Noite - sem irradiação
2,21,0.00,Noite - sem irradiação
2,22,0.00,Noite - sem irradiação
2,23,0.00,Noite - sem irradiação
3,0,0.00,Noite - sem irradiação
3,1,0.00,Noite - sem irradiação
3,2,0.00,Noite - sem irradiação
3,3,0.00,Noite - sem irradiação
3,4,0.00,Noite - sem irradiação
3,5,0.00,Madrugada - sem irradiação
3,6,0.08,Amanhecer - irradiação inicial
3,7,0.24,Manhã - irradiação crescente
3,8,0.40,Manhã - irradiação moderada
3,9,0.56,Manhã - irradiação forte
3,10,0.71,Manhã - irradiação intensa
3,11,0.87,Pré-meio-dia - quase máxima
3,12,1.00,Meio-dia - irradiação máxima
3,13,0.95,Pós-meio-dia - quase máxima
3,14,0.79,Tarde - irradiação intensa
3,15,0.63,Tarde - irradiação forte
3,16,0.48,Tarde - irradiação moderada
3,17,0.32,Tarde - irradiação decrescente
3,18,0.16,Entardecer - irradiação final
3,19,0.00,Noite - sem irradiação
3,20,0.00,Noite - sem irradiação
3,21,0.00,Noite - sem irradiação
3,22,0.00,Noite - sem irradiação
3,23,0.00,Noite - sem irradiação
4,0,0.00,Noite - sem irradiação
4,1,0.00,Noite - sem irradiação
4,2,0.00,Noite - sem irradiação
4,3,0.00,Noite - sem irradiação
4,4,0.00,Noite - sem irradiação
4,5,0.00,Madrugada - sem irradiação
4,6,0.08,Amanhecer - irradiação inicial
4,7,0.24,Manhã - irradiação crescente
4,8,0.40,Manhã - irradiação moderada
4,9,0.56,Manhã - irradiação forte
4,10,0.71,Manhã - irradiação intensa
4,11,0.87,Pré-meio-dia - quase máxima
4,12,1.00,Meio-dia - irradiação máxima
4,13,0.95,Pós-meio-dia - quase máxima
4,14,0.79,Tarde - irradiação intensa
4,15,0.63,Tarde - irradiação forte
4,16,0.48,Tarde - irradiação moderada
4,17,0.32,Tarde - irradiação decrescente
4,18,0.16,Entardecer - irradiação final
4,19,0.00,Noite - sem irradiação
4,20,0.00,Noite - sem irradiação
4,21,0.00,Noite - sem irradiação
4,22,0.00,Noite - sem irradiação
4,23,0.00,Noite - sem irradiação
5,0,0.00,Noite - sem irradiação
5,1,0.00,Noite - sem irradiação
5,2,0.00,Noite - sem irradiação
5,3,0.00,Noite - sem irradiação
5,4,0.00,Noite - sem irradiação
5,5,0.00,Madrugada - sem irradiação
5,6,0.08,Amanhecer - irradiação inicial
5,7,0.24,Manhã - irradiação crescente
5,8,0.40,Manhã - irradiação moderada
5,9,0.56,Manhã - irradiação forte
5,10,0.71,Manhã - irradiação intensa
5,11,0.87,Pré-meio-dia - quase máxima
5,12,1.00,Meio-dia - irradiação máxima
5,13,0.95,Pós-meio-dia - quase máxima
5,14,0.79,Tarde - irradiação intensa
5,15,0.63,Tarde - irradiação forte
5,16,0.48,Tarde - irradiação moderada
5,17,0.32,Tarde - irradiação decrescente
5,18,0.16,Entardecer - irradiação final
5,19,0.00,Noite - sem irradiação
5,20,0.00,Noite - sem irradiação
5,21,0.00,Noite - sem irradiação
5,22,0.00,Noite - sem irradiação
5,23,0.00,Noite - sem irradiação
6,0,0.00,Noite - sem irradiação
6,1,0.00,Noite - sem irradiação
6,2,0.00,Noite - sem irradiação
6,3,0.00,Noite - sem irradiação
6,4,0.00,Noite - sem irradiação
6,5,0.00,Madrugada - sem irradiação
6,6,0.08,Amanhecer - irradiação inicial
6,7,0.24,Manhã - irradiação crescente
6,8,0.40,Manhã - irradiação moderada
6,9,0.56,Manhã - irradiação forte
6,10,0.71,Manhã - irradiação intensa
6,11,0.87,Pré-meio-dia - quase máxima
6,12,1.00,Meio-dia - irradiação máxima
6,13,0.95,Pós-meio-dia - quase máxima
6,14,0.79,Tarde - irradiação intensa
6,15,0.63,Tarde - irradiação forte
6,16,0.48,Tarde - irradiação moderada
6,17,0.32,Tarde - irradiação decrescente
6,18,0.16,Entardecer - irradiação final
6,19,0.00,Noite - sem irradiação
6,20,0.00,Noite - sem irradiação
6,21,0.00,Noite - sem irradiação
6,22,0.00,Noite - sem irradiação
6,23,0.00,Noite - sem irradiação
7,0,0.00,Noite - sem irradiação
7,1,0.00,Noite - sem irradiação
7,2,0.00,Noite - sem irradiação
7,3,0.00,Noite - sem irradiação
7,4,0.00,Noite - sem irradiação
7,5,0.00,Madrugada - sem irradiação
7,6,0.08,Amanhecer - irradiação inicial
7,7,0.24,Manhã - irradiação crescente
7,8,0.40,Manhã - irradiação moderada
7,9,0.56,Manhã - irradiação forte
7,10,0.71,Manhã - irradiação intensa
7,11,0.87,Pré-meio-dia - quase máxima
7,12,1.00,Meio-dia - irradiação máxima
7,13,0.95,Pós-meio-dia - quase máxima
7,14,0.79,Tarde - irradiação intensa
7,15,0.63,Tarde - irradiação forte
7,16,0.48,Tarde - irradiação moderada
7,17,0.32,Tarde - irradiação decrescente
7,18,0.16,Entardecer - irradiação final
7,19,0.00,Noite - sem irradiação
7,20,0.00,Noite - sem irradiação
7,21,0.00,Noite - sem irradiação
7,22,0.00,Noite - sem irradiação
7,23,0.00,Noite - sem irradiação
8,0,0.00,Noite - sem irradiação
8,1,0.00,Noite - sem irradiação
8,2,0.00,Noite - sem irradiação
8,3,0.00,Noite - sem irradiação
8,4,0.00,Noite - sem irradiação
8,5,0.00,Madrugada - sem irradiação
8,6,0.08,Amanhecer - irradiação inicial
8,7,0.24,Manhã - irradiação crescente
8,8,0.40,Manhã - irradiação moderada
8,9,0.56,Manhã - irradiação forte
8,10,0.71,Manhã - irradiação intensa
8,11,0.87,Pré-meio-dia - quase máxima
8,12,1.00,Meio-dia - irradiação máxima
8,13,0.95,Pós-meio-dia - quase máxima
8,14,0.79,Tarde - irradiação intensa
8,15,0.63,Tarde - irradiação forte
8,16,0.48,Tarde - irradiação moderada
8,17,0.32,Tarde - irradiação decrescente
8,18,0.16,Entardecer - irradiação final
8,19,0.00,Noite - sem irradiação
8,20,0.00,Noite - sem irradiação
8,21,0.00,Noite - sem irradiação
8,22,0.00,Noite - sem irradiação
8,23,0.00,Noite - sem irradiação
9,0,0.00,Noite - sem irradiação
9,1,0.00,Noite - sem irradiação
9,2,0.00,Noite - sem irradiação
9,3,0.00,Noite - sem irradiação
9,4,0.00,Noite - sem irradiação
9,5,0.00,Madrugada - sem irradiação
9,6,0.08,Amanhecer - irradiação inicial
9,7,0.24,Manhã - irradiação crescente
9,8,0.40,Manhã - irradiação moderada
9,9,0.56,Manhã - irradiação forte
9,10,0.71,Manhã - irradiação intensa
9,11,0.87,Pré-meio-dia - quase máxima
9,12,1.00,Meio-dia - irradiação máxima
9,13,0.95,Pós-meio-dia - quase máxima
9,14,0.79,Tarde - irradiação intensa
9,15,0.63,Tarde - irradiação forte
9,16,0.48,Tarde - irradiação moderada
9,17,0.32,Tarde - irradiação decrescente
9,18,0.16,Entardecer - irradiação final
9,19,0.00,Noite - sem irradiação
9,20,0.00,Noite - sem irradiação
9,21,0.00,Noite - sem irradiação
9,22,0.00,Noite - sem irradiação
9,23,0.00,Noite - sem irradiação
10,0,0.00,Noite - sem irradiação
10,1,0.00,Noite - sem irradiação
10,2,0.00,Noite - sem irradiação
10,3,0.00,Noite - sem irradiação
10,4,0.00,Noite - sem irradiação
10,5,0.00,Madrugada - sem irradiação
10,6,0.08,Amanhecer - irradiação inicial
10,7,0.24,Manhã - irradiação crescente
10,8,0.40,Manhã - irradiação moderada
10,9,0.56,Manhã - irradiação forte
10,10,0.71,Manhã - irradiação intensa
10,11,0.87,Pré-meio-dia - quase máxima
10,12,1.00,Meio-dia - irradiação máxima
10,13,0.95,Pós-meio-dia - quase máxima
10,14,0.79,Tarde - irradiação intensa
10,15,0.63,Tarde - irradiação forte
10,16,0.48,Tarde - irradiação moderada
10,17,0.32,Tarde - irradiação decrescente
10,18,0.16,Entardecer - irradiação final
10,19,0.00,Noite - sem irradiação
10,20,0.00,Noite - sem irradiação
10,21,0.00,Noite - sem irradiação
10,22,0.00,Noite - sem irradiação
10,23,0.00,Noite - sem irradiação
11,0,0.00,Noite - sem irradiação
11,1,0.00,Noite - sem irradiação
11,2,0.00,Noite - sem irradiação
11,3,0.00,Noite - sem irradiação
11,4,0.00,Noite - sem irradiação
11,5,0.00,Madrugada - sem irradiação
11,6,0.08,Amanhecer - irradiação inicial
11,7,0.24,Manhã - irradiação crescente
11,8,0.40,Manhã - irradiação moderada
11,9,0.56,Manhã - irradiação forte
11,10,0.71,Manhã - irradiação intensa
11,11,0.87,Pré-meio-dia - quase máxima
11,12,1.00,Meio-dia - irradiação máxima
11,13,0.95,Pós-meio-dia - quase máxima
11,14,0.79,Tarde - irradiação intensa
11,15,0.63,Tarde - irradiação forte
11,16,0.48,Tarde - irradiação moderada
11,17,0.32,Tarde - irradiação decrescente
11,18,0.16,Entardecer - irradiação final
11,19,0.00,Noite - sem irradiação
11,20,0.00,Noite - sem irradiação
11,21,0.00,Noite - sem irradiação
11,22,0.00,Noite - sem irradiação
11,23,0.00,Noite - sem irradiação
12,0,0.00,Noite - sem irradiação
